ahlan.	hello
wach nta mjowwej?.	Are you married?.
wach nta labas?.	Are you okay?.
wach nta mrid?.	Are you sick?.
mora lbanka..	Behind the bank..
wakha tsllfni chi flous?.	Can I borrow some money?.
momkin tdowwer mn b3d?.	Can you call back later?.
momkin tdowwer lia mn b3d?.	Can you call me back later?.
wach momkin tgadd hadi?.	Can you fix this?.
momkin t3Tini chi mital?.	Can you give me an example?.
wakha thder chwia bjjehd 3afak?.	Can you speak louder please?.
kat3ref t3oum?.	Can you swim?.
wach 3ziza 3lih lmdrasa?.	Does he like the school?.
wach kat9blo Dollar?.	Do you accept Dollars?.
wach 3ndk Sa7btk?.	Do you have a girlfriend?.
wach 3ndk chi maw3id?.	Do you have an appointment?.
wach 3ndk chi mochkil?.	Do you have a problem?.
wach katsm3 hadchi?.	Do you hear that?.
wach 3rfti kifach noSlo l hotel Mansour?.	Do you know how to get to the Mansour Hotel?.
wach 3rfti ach kay3ni hadchi?.	Do you know what this means?.
wach 3rfti fin n9der nakhod taxi?.	Do you know where I can get a taxi?.
wach 3rfti fin kaynin nDaDri?.	Do you know where my glasses are?.
wach kay3jbok nnas li khddamin m3ak?.	Do you like your co-workers?.
wach khassak chi haja khra?.	Do you need anything else?.
wach katfhem?.	Do you understand?.
ara lia l9alam.	Give me the pen.
kifach 3rfti?.	How do you know?.
kidayra?.	How is she?.
ch7al tlw9t?.	How long is it?.
ch7al mn wa7d?.	How many?.
3ndi bzzaf tl7wayj mandir.	I have a lot of things to do.
mn daba 30 d9i9a..	In 30 minutes..
wach kayn chi wahd akhor jay?.	Is anyone else coming?.
wach kolchi hoa hadak?.	Is everything ok?.
wach bard l7al 3la brra?.	Is it cold outside?.
wach b3id 3la 8na?.	Is it far from here?.
wach skhoun l7al?.	Is it hot?.
wach katSbb chta?.	Is it raining?.
wach kayna chi haja rkheS?.	Is there anything cheaper?.
wach wldek 8na?.	Is your son here?.
wach ntsenna?.	Should I wait?.
lkbir olla ssghir?.	The big one or the small one?.
Tomobilat mirikanyin..	The cars are American..
yakma kano chi machakil?.	Were there any problems?.
wach knti f lmktaba llila li fatt?.	Were you at the library last night?.
ach kaddir?.	What are you doing?.
fach katfkker?.	What are you thinking about?.
3lach kathDro ntoma bjoj?.	What are you two talking about?.
ach drti llila lli fatt?.	What did you do last night?.
ach drti lbar7?.	What did you do yesterday?.
ach kay9raw?.	What do they study?.
achno 3ndk?.	What do you have?.
ach ballik?.	What do you think?.
ach w93?.	What happened?.
chno lli w9e3?.	What happened?.
ach dakchi?.	What is that?.
chdakchi?.	What is that?.
ach khssni nlbs?.	What should I wear?.
ach fiha?.	What's in it?.
ch7al darajat l7arara?.	What's the temperature?.
ach hada?.	What's this?.
mnin nta?.	Where are you from?.
fin n9dr nkri chi Tomobil?.	Where can I rent a car?.
fin w93at?.	Where did it happen?.
fin t3llemtiha?.	Where did you learn it?.
finahoa?.	Where is he?.
mnin hoa?.	Where is he from?.
chno lli 7sen, spaghetti ola chlaDa dyal djaj?.	Which is better, the spaghetti or chicken salad?.
achmen w7da bghiti?.	Which one do you want?.
chkon fihom lli rkheS?.	Which one is cheaper?.
chkon fihom lli 7sen?.	Which one is the best?.
achmn mdrasa lach kaymchi?.	Which school does he go to?.
chkonahoma?.	Who are they?.
3lamn kat9lleb?.	Who are you looking for?.
chkon m3aya?.	Who is it?.
chkon lli kayDowwer?.	Who's calling?.
chkonahoa dak rrajl lli lhih?.	Who's that man over there?.
chkon 3llmek dakchi?.	Who taught you that?.
3lach glti dakchi?.	Why did you say that?.
wakha tdowwez lia lml7a 3afak?.	Will you pass me the salt please?.
wakha t7TT lia hadi f Tomobil?.	Will you put this in the car for me?.
wakha tgollih iDowwer lia 3afak?.	Would you ask him to call me back please?.
3ndk Tomobila ghzala..	You have a very nice car..
katchbb8i l khti.	You look like my sister.
6 dollar l ssa3a..	6 dollars per hour..
50 drhem l ssa3a.	50 dirham per hour.
wach katsnna chi 7dd?.	Are you waiting for someone?.
wach nta khddam lioma?.	Are you working today?.
jib lia m3ak trikkoya 3afak.	Bring me my shirt please.
wach kay3jbek tfrrej f tlfaza?.	Do you like to watch TV?.
wach kmmelti l9raya?.	Have you finished studying?.
hoa ingenieur.	He's an Engineer.
ch7al hada bach nta khddam 8na?.	How long have you worked here?.
ch7al mn sa3a f ssimana katkhdem?.	How many hours a week do you work?.
ch7al t lflous 3ndk?.	How much money do you have?.
kidayr ljow?.	How's the weather?.
kidazt lkhrja?.	How was the trip?.
nsit..	I forget..
ana mzyan..	I'm good..
ana wajd..	I'm ready..
ba9i khassni bzzaf tl7wayj nchrihom..	I still have a lot of things to buy..
chftha.	I've seen it.
fach khddam howa?.	What does he do for work?.
fach khddam lwalid dyalk?.	What does your father do for work?.
fach khddam babak?.	What does your father do for work?.
fach khddam nta?.	What do you do for work?.
fach khddamin walidik?.	What do your parents do for work?.
m3ayach katmchi l khdma kola nhar?.	What time do you go to work everyday?.
imta katkhrej mn lkhdma?.	When do you get off work?.
fo9ach katkhrej mn lkhdma?.	When do you get off work?.
fin 7TTitih?.	Where did you put it?.
fin kayDrrek?.	Where does it hurt?.
fin kay3Tik SSda3?.	Where does it hurt?.
fin bghiti tmchi?.	Where do you want to go?.
aji l8na.	Come here.
wach kayTi7 tlj bzzaf f chtwa 8na?.	Does it often snow in the winter here?.
wach katDenn khaTTi7 chta lioma?.	Do you think it'll rain today?.
wach katDenn ghadi Ti7 chta ghdda?.	Do you think it's going to rain tomorrow?.
kidayra lkhdma?.	How's business?.
wach msdoud?.	Is it close?.
wach momkin?.	Is it possible?.
wach wajd?.	Is it ready?.
kayswa 20 drhem l ssa3a..	It costs 20 dirhams per hour..
b3id 3la 8na.	It's far from here.
ghaykon skhoun l7al lioma..	It's going to be hot today..
f chamal dyal 8na..	It's north of here..
l8i8..	It's over there..
chta kaTTi7.	It's raining.
mcha l7al.	It's too late.
mohimm bzzaf.	It's very important.
9rib yoSl.	It will arrive shortly.
Tro9an kayzll9o.	The roads are slippery.
kighadi ikon ljow ghdda?.	What will the weather be like tomorrow?.
Hasna sa7bt karim.	Hasna is Karim's girlfriend.
Hasna mrt karim.	Hasna is Karim's wife.
Hasna mmt karim.	Hasna is Karim's mother.
dima taydir lia hadchi.	He always does that for me.
8rrs chrjem.	He broke the window.
makaybanch b7al chi frmli.	He doesn't look like a nurse.
3ndo Tomobila wa3ra.	He has a nice car.
ma3mmro 3Tani chi haja.	He never gives me anything.
gal hadchi f wahd lblaSa zwiwna.	He said this is a nice place.
hoa mirikani.	He's an American.
hoa tlmid zwin.	He's a very good student.
hoa sra3 mnni.	He's faster than me.
kays7ab lih mabghinach nmchiw.	He thinks we don't want to go.
bito sghir bzzaf.	His room is very small.
wldo.	His son.
kidayrin lwalidin dyalk?.	How are your parents?.
kifach ghanst3ml hadchi?.	How do I use this?.
jit m3a l3a2ila dyali.	I came with my family.
jit m3a ddar.	I came with my family.
bghit nSrrf hadi l ddolar.	I'd like to exchange this for Dollars.
bghit nkhddm l'internet.	I'd like to use the internet.
ma3ndich lw9t daba.	I don't have time right now.
ma3rftch.	I don't know.
3ndi lflous.	I have money.
mazal matghdditch.	I haven't had lunch yet.
3ziza 3lia lmakla t Talyan.	I like Italian food.
kan3ich f Chichawa.	I live in Chichawa.
daba nhDr m3ak mn daba chwia.	I'll talk to you soon.
drt wahd lghalaT.	I made a mistake.
drt wahd zzBla.	I made a mistake.
kan7ss blmalal.	I'm bored.
ghanmchi l europpa l3am jjay.	I'm going to Europe next year.
ghanmchi nt3cha.	I'm going to go have dinner.
3yit.	I'm tired.
ana mbrre3, chokran.	I'm very well, thank you.
khasni sarout khra.	I need another key.
ana m7taj hadi bach noSl tmma ghdda.	I need this to get there by tomorrow.
khssni nmchi daba.	I need to go now.
wach ghadi tti7 chta ghdda?.	Is it suppose to rain tomorrow?.
kayn Hamza 3afak?.	Is Hamza there please?.
wach had lblSa aamina?.	Is this a safe area?.
wach hada ssi Mohamed?.	Is this Mr. Mohamed.
wach hada Tobis lli tayddi l Koutoubia?.	Is this the bus to Koutoubia?.
wach hada ktabk?.	Is this your book?.
ba9i khssni nghsel snani o ndowwech.	I still have to brush my teeth and take a shower.
kayn bbak f ddar?.	Is your father home?.
kayballia had ssbbaT mbogS.	I think those shoes are very good looking.
kayn l3jaj bzzaf..	It's very windy..
ghaykhss 2 tsway3 b Tomobil.	It takes 2 hours by car.
ma3mmrni drt hadchi.	I've never done that.
khdmt tmma khms snin.	I've worked there for five years.
bghit nchri chi haja.	I want to buy something.
bghit n contacti ssifara dyalna.	I want to contact our embassy.
bghit nsifT hadchi l mirikan.	I want to send this to the United States.
bghit nwrrik chi haja.	I want to show you something.
Tomobilti makhddamach.	My car isn't working.
tta wahd makay3awnna.	Nobody is helping us.
tta wahd makayn tmma daba.	Nobody is there right now.
7ll lbab.	Open the door.
7ll chrjm.	Open the window.
8zz 7wayjk.	Pick up your clothes.
3afak 7sb lia hadchi.	Please count this for me.
3afak golliha rah mamaha dwwrat.	Please tell her her mom called.
3afak gollia.	Please tell me.
3afak tsennani.	Please wait for me.
ghadi tmchi m3aya hia ghdda.	She's going with me tomorrow.
chi ktouba.	Some books.
chi 7edd jay.	Someone is coming.
sm7 lia, ma3ndich stylo.	Sorry, I don't have a pencil.
dimari tomobil.	Start the car.
gollih rah khssni nhder m3ah.	Tell him that I need to talk to him.
dik tomobila lli lhih rah dyali.	That car over there is mine.
hadik mdrasa mzyana.	That's a good school.
hada ktab dyalha.	That's her book.
hadchi makafich.	That's not enough.
tomobil tSawbat.	The car is fixed.
had lktouba dyawlna.	These books are ours.
mazal matla9awch m3aha.	They haven't met her yet.
rah kaywjjdo ijiw l3am jjay.	They're planning to come next year.
rah kaytsnnaw fina.	They're waiting for us.
rah kaytsnnawna.	They're waiting for us.
hadok rrjal kayhdro bl anglais.	Those men are speaking English.
achmn loun dik tomobil.	What color is that car?.
kijak had sbbaT.	What do you think of these shoes?.
imta bghiti ntla9aw?.	When would you like to meet?.
fin khddama mrtk?.	Where does your wife work?.
finahoa trikkoya?.	Where is my shirt?.
fin jat blaka t Tobis?.	Where is the bus station?.
achmn Tri9 khss nakhod?.	Which road should I take?.
3ndk l7e99..	You're right..
darkom zwina bzzaf.	Your house is very nice.
safi t8nna.	do not worry.
kon 8ani.	do not worry.
hania.	no worries.
rdd lbal.	watch out.
kon 3la bal.	watch out.
hada ktabi.	this is my book.
hadik 3imartna.	that is our building.
3Tini flous8a.	give me her money.
kansme3 klb8om.	I hear their dog.
hadik 7yato.	it's his life.
machi chghlk.	it's none of your business.
had lmas3ad kaykhsr bzef dyal lmrat.	This lift is often breaking.
ma3arfch 9dach lghalat dyalk, walakin ila b9ina wa7lin fhad lmas3ad bzef dyal lwa9t, t9der tkhdam tma..	I don't know how much it's your fault, but if we stay stuck in that elevator long, you can work there..
ana 3aref bli rah l PC kayn m3ak, hwa mazyan bzef..	I know you have your computer with you, it's perfect..
ach banlik wach ana khasni nkon 9ader ntla3 3chrin tab9a 7it ana S7i7?.	What are you thinking I should be able to climb twenty floors because I m so fit?.
ma3arafch achmn taba9 ila l9iti lmktab dyalk, rak 3aref..	I don't know exactly which floor if you find your office, you know..
ghadi ikhssni ntlab Archibald iSawb hadchi bzerba..	I'll have to ask Archibald to handle this urgently..
3la kol7al,ana far7an nta lli wa7alt m3ah flmas3ad, omachi Souad..	Anyway, I'm glad it's you that I'm stuck with in this elevator, and not Souad..
i9der ikon makaydkhlch lkhater..	He would have been unbearable..
salam, ah kn7es bli m9ala9 bzef..	Hello, yes I'm feeling very anxious..
hadi awal mra ghadi nsafer f Tyyara o mamt2akedch ach ghadi nmtwa93..	This is my first time flying and I'm not sure what to expect..
hadi awal mra lia, 7ta ana, hadchi kay7ama9!.	It's my first time, too, it's crazy!.
hadchi khayeb bzef o mli kt3ref hadchi makay3awnch a3sab dyali..	That's terrible and knowing that doesn't help my nerves..
gol lia 3la dakchi, ana mt2aked bli dwa wahmi li3tak..	Tell me about it, I'm sure it's a placebo what he gave you..
ach had zoj 7na!.	What a pair we are!.
kandn chi charab i9der i8ada2na..	Maybe a drink will calm us..
ach ballik f whiskey?.	How about a whiskey?.
hadchi kayban mazyan..	That sounds good..
o ila ma3ndhoumch whiskey, brandy..	Or if they haven't got a whiskey, a brandy..
ana anmchi lnadwa 3la lkhowf mn tayara..	I'm going to a seminar on the fear of the plane..
kantmna y3awn!.	I hope it helps!.
kandn i9der i3tiwna charab!.	Maybe they'll give us a drink!.
nadwa dyalk katban mohima..	Your seminar sounds interesting..
lmti7an dyal nadwa dyalk ghadi ikon mli aykhsek trje3!.	The test of your seminar will be when you have to fly back!.
nta makaddwich 3la hadok li mn lithuania?.	You're not talking about the Lithuanian?.
mat9ll9ch, ana mt2aked bli ghadi nkono tma kamlin, sa7bek tma..	Don't worry, I'm sure we'll all be there, your friend there..
tchbak sab3an..	Fingers crossed..
tmata3 b nadwa dyalk..	Enjoy your seminar..
khatat bli ghadi ikon kamlo blogha lithuania, omaghadi nfhem ta7aja..	He's scheduled to be completely in Lithuanian, and I will understand nothing..
salam, achno ghadi tkhser f had lghaba chirrira?.	Hello, what can you lose in this evil forest?.
kifach katkhatat tkhroj mn hadchi?.	How are you planning on getting out of this?.
mn b3d imken lina n7awlo nTlbo lmosa3ada b n9ado 2ala dyal mosi9a..	Then we can try to call for help by building a musical instrument..
7it 8na ma3ndich ichara.	Because here I don't have a signal.
wach nta 3ziza 3lik?.	Do you like her?.
walakin 3lach 2ala dyal lmosi9a?.	But why a musical instrument?.
wach maghadich tkhdem sfara dyal di2b 7san?.	Wouldn't a wolf whistle work better?.
7it 2ala katkhlina ntwaslo mn b3id bla ichara..	Because an instrument allows us to communicate remotely without a signal..
mn tari9a dyal l2itisal ta9lidia, n9dro nkhrjo mn hadchi..	Based on the traditional method of communication, we might be able to get us out of this..
mamt2akedch chnahwa lkhata2, walakin ila knti kadn t9der ddiro, bda..	I'm not sure what a wrong is, but if you really think you can do it, go ahead..
achmn no3 dyal l2ala li knti katfker fiha?.	What kind of instrument were you thinking of?.
chi wahd khachabi kanDnn....	A wooden one I suppose....
n9dro n9ado TAM TAM, walakin aykhsna jald dyal ljamos!.	We can make a Tam Tam, but we need buffalo skin!.
n9dro nkhdmo b dokhan bach ntwaslo f chifra dyal Morse.".	We can use the smoke to communicate in Morse code..
mnghir ila knti 3aref chi ma7al dyal ljamos hna?.	Unless you know of a buffalo shop around here?.
wakha i9der tkon 3la chi 7aja m3a lfikra dyalk 3la l3afia..	Although you may be onto something with your idea of the fire..
haha, makaynch 7ta chi ma7al b7al hada..	Haha, there's no store like this..
7it t7rek bla matchof m3a jar7a frakba makatbanch bli fikra mazyana..	Because moving blind with a wounded knee doesn't seem like a good idea to me..
ghadi nkhliw l7ajat lmohima ila kan khasna, walakin maghadich nstaslmo..	We'll leave the basics if we need to, but we can't give up..
wow, knt kandn wach ghadi tgol lia bli 7na ma7tajin l7ajat lmohima!.	Wow, I thought you would tell me that we need the basics!.
3ndi dima chwiya dyal lkhobz likayb9a o3ziz 3lia nji l8na o ntmata3 bl8odo2..	I always have some leftover bread and I like to come here and enjoy the quiet..
ana mo8ndis f informatique, o kankhdam mn dar, 7ta ana..	I'm a computer engineer, and I work from home, too..
kandn bli kay7mik bach matb9aych t3arrdi lmodaya9a..	I guess it saves you from being harassed..
TTib w rri3aya ssi7ia w lkhidma asi7ia alwatania lli tatkon dima fl2akhbar 7itach mafihach flos kafia bach ikmmlo.	Medicine and healthcare and our National Health Service which is always in the news for not having enough money to keep it going.
machi khayeb o mkhtalf b7al lkhdma!.	It's not bad and varied as work!.
8wwa zwin kol nhar, hadchi s7i7..	It's pretty cool in every day, it's true..
hadi awal mra ghadi ntir fiha..	This is my first time flying..
hadi awal mra ghadi nrkb fiha f tyyara..	This is my first time flying..
mat9ala9ch, kolchi ghadi ikon bikhir!.	Don't worry, everything's going to be fine!.
kifach 9derti tkon mt2aked lhad daraja?!.	How can you be so sure?!.
hadchi likaydiro lpilotat, makat3ref ta7ed?.	That's what pilots do, not anyone you know!.
kaydiro bzaf dsnin dyal l9raya!.	They do years and years of studying!.
wach hadchi kaywlli as8al?.	Does it get any easier?.
yalah nchofo, chwiya dyal chaja3a.	Let's see, a little bit of courage..
3ndna ghir 12:30.	All we have is 12:30..
ana marra marra kandir aghlab ttamarin dyali o 3omoman kan7dr.	I usually do most of my homework and I do turn up generally.
n9dr nghani oghniya mod7ika 3la jotat maytin, ddoud kaydkhl o kaykhrj.	I could sing a funny English song about dead bodies, the worms go in and the worms go out.
ghadi njarreb ntfakkar mnin kont sghir.	I'll have to try and remember it from when I was younger.
oh o ana makntch kanchrb, 7ta tikilaa m3a doda f 9a3 l9ar3a!.	Oh and no I ve not been drinking, not even tequila with a worm in the bottom of the bottle!.
rah yalah 9alabt o ta9dr tal9a l oghniya f youtube.	I just checked and you can find the song on youtube.
imkan khasna chi atay bjojna o hadchi ya9der y3awen l3ala9a dyalna.	Maybe we should have some tea together and that may help our relationship.
rah mo7bit.	it is dispiriting.
3andna anchita makhtalfa, kansawlk!!.	We do have various activities, I ask you!!.
kantfkr glti liya makantch zwina..	I remember you telling me she wasn't so good..
wach nta dima raDi bdar dyal ta9a3od dyalk?.	Are you always so satisfied with your retirement home?.
kandn anni tfakart bila lmakla mazwinach bzaf..	I think I remember that the food is not very good..
o hna wakha makayn 7ta 7aja?.	And here even there's nothing?.
kayban liya bila akhir mra kan mn lmoftarad lmo7aDir yadwi fiha 3la miSr l9dima.	It seems to me that the last time a lecturer was supposed to be speaking of ancient Egypt..
ana kan3zef 3la lpiano.	I do play the piano.
kantmana lik ri7la zwina ldar.	Have a good journey home.
galt liya moraha bila ghadi ta7Sl 3la 2amr ta9yidi Dado.	She said afterwards to me she was going to get a restraining order against him.
yamkn lik t7awl t9na3 chirir lkbir bhad Anya bghat flos8a safi, o nta chakhS lwa7id likaybghiha bssa7.	You could try to convince the big pervert this Anya only wants her money, and that you're the only person who really loves her!.
hadchi i9dr yanja7, nas lkbar kaykono khayfin bzaf.	That could work, old people are sometimes very paranoid..
fikra mazyana!.	What a good idea!.
ana faqaT bghit nDrb chi 3oma skhona o chi birra.	I just want to take a long hot shower and have a beer..
b9it skhoun m3a lkalb.	I stayed warm with the dog..
ma7dd makaTlebch mni tfaraj f kora o tsakhen pizza mjamda.	As long as you're not asking me to watch football and warm up a frozen pizza.
yamkn lik tb9a lwa9t libghiti f l7ammam o tchrab lbirra dyalk.	you can stay as long as you want in the shower and drink your beer.
khasso ywallef 3la ljaw lkhayb.	He needs to get used to bad weather.
7na kankhaTo bach nta9lo lsa7el lgharbi dyal Britanya mn ba3d kolchi!.	we are planning to move to the west coast of Brittany after all!.
la niha2iyan, nta katkhaTaT tnta9l l Laguira.	Not at all, you plan to move to Laguira.
3la kol 7al, ljaw f Marrakech zwin.	In any case the weather in Marrakech is wonderful.
tankreh had lbalad, ola kaydawz wa9t khayb 9 chohor f l3am.	I hate this country, or it does a terrible time 9 months a year..
ra8a a9al rotoba bzaf o aDwa2 chamaliya zwina.	It is far less humid and the northern lights are beautiful.
Momkin 3la 9bl lmaSaSat, walakin machi bnasba liya.	Maybe for popsicles, but not for me..
ghadi nkon dima f ri7la ba7riya lda2ira l9otbiya.	I will always be on a cruise to the polar circle.
sma7 liya, chamal dyal Asfi.	Excuse me, north of Asfi..
bghitini njib lik l3aSir dyalk l7ammam dyalk.	You want me to bring your juice in your bath?.
hadchi ghadi ykon 3aDim.	That would be great.
salam.	Hello.
9ahwa biDa?.	Flat White?.
Amricano?.	Americano?.
wach hi dayz mn lmdina? makanDnnch fayt chaftk 8na mn 9bal.	Are you visiting the town? I don't think I have seen you in here before.
ma3ndi mangol.	All right.
ma3riD lfanni b3id 100 mitr 3la lbar.	The art gallery is just a hundred metres from the bar.
bl3aks, yalah da9t ghir daba l9ahwa dyalk lbayda..	Otherwise, I just had a taste of your white-mouth coffee..
machi mazyan bzaf..	Not so good..
wakha ghadi ndiro o man ba3d ghadi n7taj nsrbi lklyan lli yalah ja..	Right I'll do that and then I need to serve the customer who has just come in..
chokran bzef 3la lmo3awana dyalk..	Thanks very much for your help..
Aww chokran lik, hadchi liglti loTf mn 3andak!.	Aww thank you, that's so kind of you to say!.
Khasatan Sttati, hoa afdal wahd 3andi..	Especially Sttati, he's my favorite..
Oh ah, tla9it m3a Latifa ftri9i, bant lya drayfa bzef.	Oh yes, I met Latifa on my way in, she did seem very nice.
o waldi Jilali mazal kay3awn ch7alma 9dar.	And my son Jilali still helps out as much as he can.
Wach ba9i 3a9al 3la Julian?.	Do you remember Julian?.
walakin rah kaykhas chawya dyal lwa9t, bach trad lik lbal..	But it must take her some time, to take care of you..
kofitir dyal albat m3a kofitir dyal tot albari..	The duck jam with the cranberry jam..
S3ib tayab lbaTT.	It's hard to cook the duck.
khasatan mli kaddir bzaf l bzzaf dyal nas.	especially when you make a lot for a lot of people.
walakin 8na, TTyab imkn ikon mazyan bzaf!.	but here, the cook can do very well!.
onta kat3ref ch7al kanbghi zabda o jban o lmakla lghanyya, olldida.	And you know how much I like butter and cheese and rich, tasty foods.
jari Hamza kayakl ghir zlayf dyal soba, hadchi s7i7..	My neighbor Hamza only eats bowls of soup, that's true..
wach bghiti tmchi llbit lmochtarak, bach tchrab kas dyal atay?.	Do you want to go to the common room for a cup of tea?.
Haha, rak 8rastini!.	Haha, you crack me up!.
Oh, ah, hadi fikra mazyana..	Oh, yeah, that's a good idea..
Oh anta kat3jbek Lina bzaf!.	Oh wow you really do like Lina a lot!.
ila nta9alti l8na, n9dro n3icho bjouj!.	If you move in here, we could live together!.
imkn lina n7awlo, 3azizati!.	We could try, my dear!.
hahya Lamia..	Here's Lamia..
hadi machi fikra masi7ia bzzaf!.	That's not a very Christian idea!.
blmonasaba, kantmnna tkon ma3rdtich 3la Ihsan..	By the way, I hope you didn't invite Ihsan..
Oh...chkon likaykhasni n3rad 3lih?.	Oh... who should I invite?.
Ma3ndich bzaf dyal SS7abat mn ghir Mona....	I don’t have many friends except Mona....
ow!.	Ow!.
ana kan7drak, rah hia ola ana..	I'm warning you, it's her or me..
Knt kanDn ghadi n3red 3la Assia, kat3rfha..	I thought I'd invite Assia, you know her..
kant fchkal mali kant fl2otro7a..	She's been so weird since she's on the thesis..
kan 3ndi Rottweiler, walakin tfkit mno, rah kla jari..	I had a Rottweiler, but I had to get rid of it, he ate my neighbor..
ewa klina Rottweiller f3id milad dyal wldi.	So we ate the Rottweiler for my son's birthday.
ma7sch bsadma?.	Was he not traumatised?.
La wldk!.	No your son!.
la, rah tlabha mra khra..	No, he asked for it again..
khllani mchToun chwiya..	It got me a little bit worried..
ewa imkn lih iji had llila o it3amel m3a REX!.	Well he could come along tonight and deal with Rex!.
Oh, imken chi haja mzyana ma9dertch nchdha mn b3d..	Oh, probably a good thing I couldn't catch it then..
wach kat9sed hadchi?.	Do you mean this?.
wakha!.	Ok then!.
sma7lia sda3tak .	Sorry to bother you.
walakin hadi awal tsafira ftyyara lia o ana khayfa chwiya.	but it's my first flight ever and I'm a little scared.
wach ma3ndakch mochkila ila dwina chwiya 9bel man9ll3o?.	Do you mind if we chat a bit during take-off?.
la, ni8a2iyan!.	No, not at all!.
nta ghadi bach l3otla?.	You're leaving for a holiday?.
awal ri7la lya lbra!.	My first ever abroad!.
o zaydoun, hadi hya aktar tari9a aamina bach iddiwha, kima kaygolo..	Besides, this is the safest way to transport it, as they say..
khasek tsawel 3la kas dyal chrab..	You should ask for a glass of wine..
ghadi ikon hadchi loTf mnnk..	That would be very nice of you..
Tayara, 2amina bzaf.	The plane, it's very safe..
o chokran 3la Trf dyal chokolata.	And thank you for the chocolate bar.
 khrajtha man sac dyalk mli makntich katchouf.	I took it out of your bag whilst you weren't looking.
imken makay3jabnich tayaran mn hadchi kollo.	Maybe I don't like flying after all.
wach flkhr tfara9ti m3a sa7bak?.	You finally split up with your friend?.
Imkan 7ta ana m9al9a chwiya?.	Maybe a little worried, too?.
Sahbi hah!.	My friend hah!.
Sa7bti hah!.	My friend hah!.
machi bzaf dyal sanawat..	Not for years..
frask.	You know.
kan kays7ablik ana ma3arfach ach kan hoa o Martin kaydiro mli kaygolia bli kayla3bo l basket.	he thought I didn't know what him and Martin were doing when they said they were playing basketball.
nta bsse7 mab9itich katsma3 lia b7al kima kan.	you don't really listen to me any more than he ever did.
kanDn hada hwa sabab likan mkhalini dima mrtabta bik.	I think that's why I've always been so attached to you.
Oh, yalah safi ... nta 3araf bli hadchi machi s7i7..	Oh, come on... You know that's not true..
ana 3arf hadchi.	I know that.
Bsara7a, kan ghadi idirha, kon kan kaysma3 lia.	Frankly,and he would've, if he'd ever listened to me.
3lach kadn bli dert hadchi?.	Why do you think I did this?.
kan dakchi bach n9dro nkono m3a ba3dyatna..	It was so that WE could be together..
katdahar bli baghi t3raf kifach daz n8ari.	pretending to want to know how my day was.
kifach 7sit bl7wayj.	how I felt about things.
3lach knt kan9lab f l7ayat?.	what I was looking for in life?.
ola bl a7ra, lmrid dyali limn ba3d, blmonasaba..	Or rather, my next patient, by the way..
Ohlala, mab9itch kan3rf had lblasa ga3..	Ohlala, I don't recognize this place at all..
hadchi chi 7aja....	That's something....
ghadi yakhad lina bzaf dyal lwa9t bach nrj3o mn tri9 lijina mnha.	It will take us hours to get back the way we come.
fdlam, o fost ga3 had lghays ....	in the dark, and through all that mud ....
3la 7sab lkharita,aykhas ikon l7jar ola jaraf ola jaraf sghir 9rib mn lfo9 dyal jbal..	According to the map there should be some rocks, a crag or a small cliff near the top of th hill..
ah ana kangol bli hada sb3..	Yes I'd say that's a lion..
lso2 l7ad lktaba dyali khayba bazaf.	Unfortunately my typing is bad.
knt kan9sad ila l9ina l7jar machi 9dafna l7jar..	I meant if we find the rocks not if we fling the rocks..
an7tajo nwaffro TTa9a dyalna l Tl3a o f nnzoul TTwil..	We need to saveour energy for the climb and the long walk down..
yalah nt7arko daba, ola ghadi nb9aw hna chi yamat!.	let's move now, or we'll be here in a few days!.
idan 7na kaynin fl7afa dyal ljarf.	So here we are at the edge of the cliff.
o chofo lhih 3sa, ol village ta8oa..	and look there's the rod, and the village..
Rad balk, had l7jar rah katzala9 bzaf, mbghitich Ti7.	Be careful, these rocks are rather slippery, don't want to fall.
machi mzyan..	Not so good..
machi mazyan, la..	Not so good, no..
Ah, kas mn champagne ghadi raj3ni hwa hadak..	Yes, a good glass of champagne will do me great..
Lwalida, 3afak khalini ntchowech 3liha, bghit narta7..	Mother, please let me worry about it, I want to rest..
3araf, 3araf, onta masabrch.	I know, I know, and you're not holding up.
ma9adrch takhod chwiya dyal lwa9t tfkar fih.	you're not able to take time to think about it.
ola 7ta anak matfakar fta7aja.	Or even think of nothing.
tsabt blmarad lfaranci likayban mli kayb9aw rajlik itmalmlo..	I've got the French disease of restless legs..
ga3 dakchi lfaranci, kaytla7d dima..	All those French things, always being noticed..
hada hwa wa9t lmchrobat..	It's time for drinks..
ah knt kanjar lik rajlik..	Yes I was pulling your leg..
wach safi taf9na?.	Do we have a deal?.
nta katsta7a9 bach t7malni..	You deserve to put up with me..
idan kanwa3dak ghadi nkhlik bohdak.	Then I promise to leave you alone.
3andak 39al wahd..	You have a one track mind..
makay3aytoch lik Einstein 3la dakchi.	They don't call you Einstein for that.
la makay3aytoch 3lik Einstein ga3..	No they don't call you Einstein at all..
awlla la?.	Do they?.
Sir nta..	You go..
wayah hadchi as8al..	Sure it's easier..
Rak 3arfni 3andi m3a Tyab, idan n9dr ndir chi7aja ila bghiti..	But you know I like to cook, so I can also do one of the things if you want..
Oh hadchi ghadi ikon ghzal..	Oh that would be lovely..
wach t9dr dir lia kika dyal frota wtzaw9ha btlj.	Could you make me a fruit cake with icing decorations?.
